qid,pid
749af76cca984d2084c77c90297cbf71,1001
61f7cac1866841acb1265f6f1d4683d9,1002
045d7e1b0a8e468998c650df39512825,1003
d53fbcb29aa14abab7b26116bbd94679,1004
d6c5baaa7eda4aafb8b354ccbdff7e9f,1005
5207ffe56b4b4be58eb5b754776ca888,1006
228f0bc9eea4436397f4a8bd11addefd,1007
db89dc82e1664b44b91ce66bc91bdcfa,1008
5f9e35547f244b1b8f3b52e651aefcda,1009
d50a62aa758c4e0cb1a28b163c948bf7,1010
3bd7cd61fbda44f28547dbfc38844bae,1011
b07eb5616e8c41b5ab3ea2bc458b7efd,1012
1d9559fc1f654840a5d0880caf69806a,1013
dceecff5b77a4972986830480cac4072,2001
cf554faa9e744b799f9b932b89c03c9d,2002
f7fc8817f82746c28c69a049ecfc3b01,2003
b647aa2da2c44c379d572cdc3b1b827a,2004
e82bf3ce14ba4ae589ff7d9eae92109d,2005
6684b2766a6540ea88e7127b04fab012,2006
43b2a692e86b46618159eddc6f405d97,2007
650097ca9a214aa494c0d46a60816572,2008
554a457391f84be0a8ad87d648932a96,2009
af93a94c49314a3787b230f1e201fe45,2010
900d122ca5044e13b37dfe47ae355712,2011
036ca7a03a4341219c09211bb30516b8,2012
